Iteration,Value
1,323.41550217942404
2,184.2269324842551
3,129.5825294043459
4,215.90769575230198
5,115.45764270018927
6,175.64107321984054
7,46.4096611774634
8,12.69775218097111
9,0.8005757409529168
10,0.47027448076683964
11,0.08855990457213195
12,0.028466183614196134
13,0.011102217871253381
14,0.005408436000191825
15,0.0020679319793162087
16,0.0005111141837140629
17,6.728150840627079e-05
18,1.7346309120342167e-05
19,156.8505298049336
20,120.63076497979631
21,23.08507030719007
22,3.942880654146448e-07
23,3.0353482258087115e-07
24,1.890457527570451e-07
25,6.755659296843297e-08
26,1.492699697420628e-08
27,3.846843834389971e-09
28,4.263808877848048e-10
29,2.0296184571915787e-10
30,8.966361322369655e-11
31,3.5792175371443446e-11
32,1.9484370181309963e-11
33,1.5467740823677283e-11
34,3.0197715176058558e-12
35,3.683874580478835e-13
36,1.977301409502398e-13
37,1.5976944862990418e-13
38,103.64987671170371
39,5.684341886080802e-14
40,5.684341886080802e-14
41,5.684341886080802e-14
42,5.684341886080802e-14
43,7.190186943645084e-14
44,1.449228509952941e-13
45,7.562422866125087
46,73.21146078224051
47,45.55507167838418
48,72.42673049332477
49,1.5109632677440221
50,0.18863697539544316
51,26.06517710721458
52,56.39971311934756
53,71.08292837804468
54,7.2250871194396804e-06
55,3.678663390351378e-07
56,7.910271435580936e-08
57,1.5295124773350318e-08
58,6.032610501414468e-10
59,2.6323629881441105e-10
60,8.808296505691763e-11
61,9.784038792454771e-12
62,4.681047777686719e-12
63,9.140776728535021
64,154.2427382231358
65,56.77125433003542
66,4.7558616332371205e-14
67,5.684341886080802e-14
68,5.684341886080802e-14
69,5.684341886080802e-14
70,10.476557992711019
71,25.191807837991472
72,40.84825263162593
73,5.684341886080802e-14
74,98.48408900543423
75,5.684341886080802e-14
76,5.684341886080802e-14
77,5.684341886080802e-14
78,34.77999091622763
79,5.684341886080802e-14
80,5.684341886080802e-14
81,5.684341886080802e-14
82,5.684341886080802e-14
83,5.684341886080802e-14
84,5.684341886080802e-14
85,5.684341886080802e-14
86,5.684341886080802e-14
87,5.684341886080802e-14
88,5.684341886080802e-14
89,5.684341886080802e-14
90,5.684341886080802e-14
91,5.684341886080802e-14
92,5.684341886080802e-14
93,5.684341886080802e-14
94,5.684341886080802e-14
95,92.22726566498146
96,5.684341886080802e-14
97,5.684341886080802e-14
98,5.684341886080802e-14
99,5.684341886080802e-14
100,5.684341886080802e-14
101,5.684341886080802e-14
102,5.684341886080802e-14
