Iteration,Value
1,492.7346656786227
2,347.4584885751633
3,641.731789980103
4,346.14827370203415
5,509.4712225910103
6,490.0469709382398
7,484.7547186780756
8,485.14115019758026
9,485.61156405170885
10,485.6267724294653
11,486.0359252488611
12,486.0397119716263
13,486.04015435637064
14,486.0420917612519
15,486.04357514839387
16,486.04371136987197
17,486.04374964559713
18,486.04376249995175
19,466.6296791862386
20,486.0437703418194
21,486.043772106587
22,486.04377235664185
23,486.0437725267505
24,486.0437727735091
25,486.04377277679
26,486.04377277697654
27,486.0437727771026
28,486.0437727777224
29,486.0437727777982
30,486.04377277784465
31,486.0437727778501
32,486.0437727778726
33,486.04377277787404
34,486.043772777874
35,486.04377277787404
36,486.04377277787404
37,486.04377277787404
38,486.04377277787404
39,486.04377277787404
40,486.04377277787404
41,486.04377277787404
42,486.04377277787404
43,486.043772777874
44,486.043772777874
45,460.835696557457
46,357.0959037666929
47,351.45783402234224
48,484.7264926906465
49,482.5986871153753
50,482.6019787539425
51,395.7227604075346
52,482.5985533537369
53,482.5985511274802
54,482.5985510628228
55,482.59855104723175
56,482.59855104509563
57,482.59855104415817
58,482.5985510439513
59,482.5985510439487
60,482.59855104395194
61,482.59855104395376
62,482.59855104395405
63,452.1292952821754
64,292.27950880411663
65,482.59855104395746
66,482.5985510439575
67,482.5985510439575
68,482.5985510439575
69,482.5985510439575
70,447.6766910682541
71,461.6095443464684
72,482.5985510439575
73,482.5985510439575
74,482.5985510439575
75,482.5985510439575
76,482.5985510439575
77,482.5985510439575
78,482.5985510439575
79,482.5985510439575
80,482.5985510439575
81,482.5985510439575
82,482.5985510439575
83,482.5985510439575
84,482.5985510439575
85,482.5985510439575
86,482.5985510439575
87,482.5985510439575
88,482.5985510439575
89,482.5985510439575
90,482.5985510439575
91,482.5985510439575
92,482.5985510439575
93,482.5985510439575
94,482.5985510439575
95,482.5985510439575
96,482.5985510439575
97,482.5985510439575
98,482.5985510439575
99,482.5985510439575
100,482.5985510439575
101,482.5985510439575
102,482.5985510439575
103,482.5985510439575
104,482.5985510439575
105,482.5985510439575
106,482.5985510439575
107,482.5985510439575
108,482.5985510439575
109,482.5985510439575
110,482.5985510439575
111,482.5985510439575
112,482.5985510439575
113,482.5985510439575
114,482.5985510439575
115,482.5985510439575
116,482.5985510439575
117,482.5985510439575
118,482.5985510439575
119,482.5985510439575
120,482.5985510439575
121,482.5985510439575
122,310.4020676870248
123,266.5796063001509
124,482.5985510439575
125,442.396730371612
126,482.5985510439575
127,424.2156000190233
128,494.64723052010305
129,495.3589693375774
130,496.9998688086862
131,500.9933412811263
132,501.31013024204333
133,501.4245161879903
134,501.56318250813484
135,501.5850959463142
136,501.600277695934
137,501.60281988059734
138,501.6028449940728
139,501.602845464487
140,501.60285537794255
141,501.6028571605588
142,501.60285727768286
143,501.6028575093282
144,501.6028575810463
145,501.60285764855723
146,501.60285772298204
147,501.6028579747142
148,501.6028580851851
149,501.6028580855081
150,501.6028580855327
151,501.6028580855405
152,501.6028580855415
153,501.60285808555074
154,501.60285808555216
155,501.60285808555335
156,501.602858085554
157,387.067042360593
158,501.6028580855578
159,501.6028580855579
160,530.2307935878734
161,548.2645844049671
162,557.2172828319036
163,559.3195857084246
164,561.2078992314082
165,561.4326822310172
166,561.5313070853247
167,561.5999297738342
168,561.6005104049232
169,561.6005697595344
170,561.6005810805868
171,561.6005842864822
172,561.6005865516468
173,561.6005868323684
174,561.6005869360542
175,561.6005869812246
176,561.6005869890632
177,561.6005869983833
178,561.6005869983915
179,561.6005869984397
180,561.6005869984554
181,561.6005869984588
182,561.6005869984656
183,561.6005869984907
184,561.6005869984921
185,561.6005869984921
186,561.6005869984921
187,561.6005869984921
188,561.6005869984921
189,561.6005869984921
190,561.6005869984921
191,561.6005869984921
192,561.6005869984921
193,561.6005869984921
194,561.6005869984921
195,561.6005869984921
196,561.6005869984921
197,561.6005869984921
198,561.6005869984921
199,561.6005869984921
200,561.6005869984921
201,561.6005869984921
202,561.6005869984921
203,561.6005869984921
204,561.6005869984921
205,561.6005869984921
206,561.6005869984921
207,561.6005869984921
208,561.6005869984921
209,561.6005869984921
210,561.6005869984921
211,561.6005869984921
212,561.6005869984921
213,419.99842317772266
214,417.2372542073829
215,414.44702325214934
216,415.41246454690906
217,446.925730014994
218,446.9983763954124
219,450.71020133675756
220,451.1070776248773
221,451.1285872630989
222,451.32674731152383
223,451.33074171295544
224,451.33818790087514
225,451.33833876692154
226,451.3395815790392
227,451.3405419049419
228,451.34216025418357
229,451.3423515931339
230,451.3424409543447
231,451.34246263535454
232,402.8034816627087
233,440.28747285770305
234,413.53298824714943
235,413.4723624332763
236,413.49046387145773
237,413.4547714408333
238,413.4489147999973
239,360.6015712067232
240,413.44863090490355
241,413.44863148227535
242,413.44863104994636
243,413.4486308927538
244,413.4486308844437
245,413.4486308837763
246,413.44863088373637
247,413.44863088372983
248,413.44863088372904
249,413.44863088372904
250,413.44863088372904
251,413.44863088372904
252,413.44863088372904
253,413.44863088372904
254,413.44863088372904
255,413.44863088372904
256,413.44863088372904
257,413.44863088372904
258,413.44863088372904
259,413.44863088372904
260,413.44863088372904
261,413.44863088372904
262,413.44863088372904
263,413.44863088372904
264,413.44863088372904
265,413.44863088372904
266,413.44863088372904
267,413.44863088372904
268,413.44863088372904
269,413.44863088372904
270,413.44863088372904
271,413.44863088372904
272,413.44863088372904
273,413.44863088372904
274,413.44863088372904
275,413.44863088372904
276,413.44863088372904
277,413.44863088372904
278,413.44863088372904
279,413.44863088372904
280,413.44863088372904
281,413.44863088372904
282,413.44863088372904
283,413.44863088372904
284,413.44863088372904
285,413.44863088372904
286,413.44863088372904
287,413.44863088372904
288,413.44863088372904
289,413.44863088372904
290,413.44863088372904
291,413.44863088372904
292,413.44863088372904
293,413.44863088372904
294,413.44863088372904
295,413.44863088372904
296,413.44863088372904
297,335.13931977679624
298,314.98573260538774
299,315.3468245827995
300,414.4867205360627
301,430.3192606492118
302,485.6336341811759
303,521.8364074903106
304,535.1769233423075
305,536.356980749535
306,551.8812395885893
307,551.8938095990684
308,551.9083959742319
309,551.9375947338274
310,551.9405604729028
311,551.9501562871442
312,551.953211688143
313,551.9538482618885
314,551.953855359036
315,383.36295158551565
316,445.72193220021734
317,413.91382943488975
318,413.4699081348316
319,413.49662167517545
320,413.449186259033
321,413.4486748839931
322,413.4486311321359
323,413.44863090703416
324,413.4486329586073
325,413.44863355420927
326,413.44863355452196
327,413.448633560748
328,413.4486335680913
329,413.4486335681662
330,413.4486335697307
331,413.4486335699737
332,413.4486335703091
333,413.4486335703263
334,413.4486335703406
335,413.44863357034103
336,413.4486335703421
337,413.44863357034257
338,413.44863357034285
339,413.4486335703429
340,413.44863357034285
341,413.44863357034285
342,413.44863357034285
343,413.44863357034285
344,413.44863357034285
345,413.44863357034285
346,413.44863357034285
347,413.44863357034285
348,413.44863357034285
349,413.44863357034285
350,413.44863357034285
351,413.44863357034285
352,413.44863357034285
353,413.44863357034285
354,413.44863357034285
355,413.44863357034285
356,413.44863357034285
357,413.44863357034285
358,413.44863357034285
359,413.44863357034285
360,413.44863357034285
361,413.44863357034285
362,413.44863357034285
363,413.44863357034285
364,413.44863357034285
365,413.44863357034285
366,413.44863357034285
367,413.44863357034285
368,413.44863357034285
369,413.44863357034285
370,413.44863357034285
371,413.44863357034285
372,413.44863357034285
373,413.44863357034285
374,413.44863357034285
375,413.44863357034285
376,413.44863357034285
377,413.44863357034285
378,413.44863357034285
379,413.44863357034285
380,413.44863357034285
381,413.44863357034285
382,276.0507893869508
383,413.44863357034285
384,413.44863357034285
385,413.44863357034285
386,413.44863357034285
387,413.44863357034285
388,413.44863357034285
389,413.44863357034285
390,413.44863357034285
391,337.3596086749322
392,335.67443848388785
393,335.60440273779375
394,335.67569898476336
395,335.8318177547717
396,335.9563050973939
397,335.9865656693967
398,336.00039288350143
399,336.0027338522851
400,336.0033165917624
401,336.00530028911754
402,336.00595017989446
403,336.0061821893207
404,336.0062462960682
405,336.00633761609754
406,336.00643612325035
407,336.00643754170073
408,336.0064375876306
409,336.0064375880337
410,336.00643758849753
411,336.00643759261766
412,336.0064375952222
413,336.0064375953943
414,336.0064375954094
415,336.0064375954355
416,336.0064375954364
417,336.0064375954402
418,336.00643759544033
419,336.0064375954409
420,336.00643759544096
421,336.00643759544096
422,336.00643759544096
423,336.00643759544096
424,336.00643759544096
425,336.00643759544096
426,336.00643759544096
427,336.00643759544096
428,336.00643759544096
429,336.00643759544096
430,336.00643759544096
431,336.00643759544096
432,336.00643759544096
433,336.00643759544096
434,336.00643759544096
435,336.00643759544096
436,336.00643759544096
437,336.00643759544096
438,336.00643759544096
439,336.00643759544096
440,336.00643759544096
441,336.00643759544096
442,336.00643759544096
443,336.00643759544096
444,336.00643759544096
445,336.00643759544096
446,336.00643759544096
447,336.00643759544096
448,336.00643759544096
449,336.00643759544096
450,336.00643759544096
451,336.00643759544096
452,336.00643759544096
453,336.00643759544096
454,336.00643759544096
455,336.00643759544096
456,336.00643759544096
457,336.00643759544096
458,336.00643759544096
459,336.00643759544096
460,336.00643759544096
461,336.00643759544096
462,336.00643759544096
463,336.00643759544096
464,336.00643759544096
465,336.00643759544096
466,336.00643759544096
467,336.00643759544096
468,336.00643759544096
469,336.00643759544096
470,336.00643759544096
471,336.00643759544096
472,336.00643759544096
473,336.00643759544096
474,336.00643759544096
475,336.00643759544096
476,336.00643759544096
477,336.00643759544096
478,336.00643759544096
479,336.00643759544096
480,336.00643759544096
481,336.00643759544096
482,336.00643759544096
483,336.00643759544096
484,336.00643759544096
485,336.00643759544096
486,336.00643759544096
487,336.00643759544096
488,336.00643759544096
489,336.00643759544096
490,336.00643759544096
491,336.00643759544096
492,336.00643759544096
493,336.00643759544096
494,336.00643759544096
495,336.00643759544096
496,336.00643759544096
497,336.00643759544096
498,336.00643759544096
499,336.00643759544096
500,336.00643759544096
501,336.00643759544096
502,336.00643759544096
503,336.00643759544096
504,336.00643759544096
505,277.9834213439734
506,127.84105713646284
507,201.26175811961434
508,336.00643759544096
509,336.00643759544096
510,336.00643759544096
511,336.00643759544096
512,336.00643759544096
513,336.00643759544096
514,336.0064375954409
515,336.0064375954409
516,336.0064375954409
517,336.0064375954409
518,336.0064375954409
519,336.0064375954409
520,336.0064375954409
521,336.0064375954409
522,336.0064375954409
523,336.0064375954409
524,336.0064375954409
525,336.0064375954409
526,336.0064375954409
527,336.0064375954409
528,336.0064375954409
529,336.0064375954409
530,336.0064375954409
531,229.19973570934758
532,336.0064375954409
533,336.0064375954409
534,336.0064375954409
535,336.0064375954409
536,336.0064375954409
537,336.0064375954409
538,336.0064375954409
539,336.0064375954409
540,336.0064375954409
541,336.0064375954409
542,336.0064375954409
543,336.0064375954409
544,336.0064375954409
545,336.0064375954409
546,336.0064375954409
547,336.0064375954409
548,336.0064375954409
549,336.0064375954409
550,303.3969038522788
551,336.0064375954409
552,336.0064375954409
553,336.0064375954409
554,336.0064375954409
555,336.0064375954409
556,281.3581738250896
557,336.0064375954409
558,336.0064375954409
559,336.0064375954409
560,336.0064375954409
561,336.0064375954409
562,336.0064375954409
563,336.0064375954409
564,336.0064375954409
565,336.0064375954409
566,336.0064375954409
567,336.0064375954409
568,336.0064375954409
569,336.0064375954409
570,336.0064375954409
571,336.0064375954409
572,289.79724525526376
573,336.0064375954409
574,336.0064375954409
575,336.0064375954409
576,336.0064375954409
577,336.0064375954409
578,336.0064375954409
579,336.0064375954409
580,336.0064375954409
581,336.0064375954409
582,336.0064375954409
583,336.0064375954409
584,336.0064375954409
585,336.0064375954409
586,336.0064375954409
587,336.0064375954409
588,336.0064375954409
589,336.0064375954409
590,336.0064375954409
591,336.0064375954409
592,336.0064375954409
593,336.0064375954409
594,336.0064375954409
595,336.0064375954409
596,336.0064375954409
597,336.0064375954409
598,336.0064375954409
599,336.0064375954409
600,336.0064375954409
601,336.0064375954409
602,336.0064375954409
603,336.0064375954409
604,336.0064375954409
605,336.0064375954409
606,336.0064375954409
607,336.0064375954409
608,336.0064375954409
609,336.0064375954409
610,336.0064375954409
611,336.0064375954409
612,336.0064375954409
613,336.0064375954409
614,336.0064375954409
615,336.0064375954409
616,336.0064375954409
617,336.0064375954409
618,336.0064375954409
619,336.0064375954409
620,336.0064375954409
621,336.0064375954409
622,336.0064375954409
623,336.0064375954409
624,336.0064375954409
625,336.0064375954409
626,336.0064375954409
627,336.0064375954409
628,336.0064375954409
629,336.0064375954409
630,336.0064375954409
631,336.0064375954409
632,336.0064375954409
633,336.0064375954409
634,336.0064375954409
635,336.0064375954409
636,336.0064375954409
637,336.0064375954409
638,336.0064375954409
639,336.0064375954409
640,336.0064375954409
641,336.0064375954409
642,336.0064375954409
643,336.0064375954409
644,336.0064375954409
645,336.0064375954409
646,336.0064375954409
647,336.0064375954409
648,336.0064375954409
649,336.0064375954409
650,336.0064375954409
651,336.0064375954409
652,336.0064375954409
653,336.0064375954409
654,336.0064375954409
655,336.0064375954409
656,336.0064375954409
657,336.0064375954409
658,336.0064375954409
659,336.0064375954409
660,336.0064375954409
661,336.0064375954409
662,336.0064375954409
663,336.0064375954409
664,336.0064375954409
665,336.0064375954409
666,336.0064375954409
667,336.0064375954409
668,336.0064375954409
669,336.0064375954409
670,336.0064375954409
671,336.0064375954409
672,336.0064375954409
673,336.0064375954409
674,336.0064375954409
675,336.0064375954409
676,336.0064375954409
677,336.0064375954409
678,336.0064375954409
679,336.0064375954409
680,336.0064375954409
681,336.0064375954409
682,242.23947059905595
683,336.0064375954409
684,336.0064375954409
685,138.36188255783452
686,336.0064375954409
687,336.0064375954409
688,336.0064375954409
689,336.0064375954409
690,336.0064375954409
691,336.0064375954409
692,336.0064375954409
693,336.0064375954409
694,336.0064375954409
695,336.0064375954409
696,336.0064375954409
697,336.0064375954409
698,336.0064375954409
699,336.0064375954409
700,336.0064375954409
701,336.0064375954409
702,336.0064375954409
703,336.0064375954409
704,336.0064375954409
705,336.0064375954409
706,336.0064375954409
707,336.0064375954409
708,336.0064375954409
709,336.0064375954409
710,336.0064375954409
711,336.0064375954409
712,336.0064375954409
713,336.0064375954409
714,119.98060808603816
715,192.30582752982082
716,336.0064375954409
717,336.0064375954409
718,336.0064375954409
719,336.0064375954409
720,336.0064375954409
721,336.0064375954409
722,336.0064375954409
723,336.0064375954409
724,336.0064375954409
725,336.0064375954409
726,336.0064375954409
727,336.0064375954409
728,336.0064375954409
729,336.0064375954409
730,336.0064375954409
731,336.0064375954409
732,288.37720385710463
733,336.0064375954409
734,336.0064375954409
735,336.0064375954409
736,336.0064375954409
737,336.0064375954409
738,336.0064375954409
739,336.0064375954409
740,336.0064375954409
741,336.0064375954409
742,336.0064375954409
743,336.0064375954409
744,336.0064375954409
745,325.959036964545
746,177.66759672935927
747,336.0064375954409
748,336.0064375954409
749,336.0064375954409
750,336.0064375954409
751,336.0064375954409
752,336.0064375954409
753,247.63635212643385
754,336.0064375954409
755,336.0064375954409
756,336.0064375954409
757,336.0064375954409
758,336.0064375954409
759,336.0064375954409
760,336.0064375954409
761,336.0064375954409
762,336.0064375954409
763,336.0064375954409
764,336.0064375954409
765,336.0064375954409
766,336.0064375954409
767,336.0064375954409
768,336.0064375954409
769,336.0064375954409
770,280.55648105924297
771,336.0064375954409
772,336.0064375954409
773,336.0064375954409
774,336.0064375954409
775,336.0064375954409
776,336.0064375954409
777,336.0064375954409
778,336.0064375954409
779,336.0064375954409
780,336.0064375954409
781,336.0064375954409
782,336.0064375954409
783,336.0064375954409
784,336.0064375954409
785,336.0064375954409
786,336.0064375954409
787,336.0064375954409
788,336.0064375954409
789,270.53284448635725
