Iteration,Value
1,784.7452112016551
2,779.6778636870603
3,770.010203751514
4,606.4729692428148
5,724.92734386062
6,501.6954798011383
7,490.7105538602071
8,512.6311693003365
9,489.70259022016216
10,489.6991570532855
11,489.6977092284957
12,489.6974206121593
13,489.6973163429564
14,489.6972940306922
15,489.6972717466896
16,489.69726562220103
17,516.5898062697604
18,489.697265098147
19,489.69726505695445
20,489.69726503760467
21,489.6972650277277
22,489.69726502423754
23,489.69726502275546
24,489.697265022501
25,489.69726502246795
26,489.6972650224616
27,489.69726502245913
28,489.69726502245857
29,489.69726502245885
30,489.69726502245885
31,540.4999215858279
32,489.69726502245885
33,489.69726502245885
34,489.69726502245885
35,489.69726502245885
36,489.69726502245885
37,489.69726502245885
38,489.69726502245874
39,489.69726502245874
40,489.69726502245874
41,508.9318960374156
42,489.69726502245874
43,489.69726502245874
44,489.69726502245874
45,489.69726502245874
46,489.69726502245874
47,489.69726502245874
48,489.69726502245874
49,489.69726502245874
50,489.69726502245874
51,489.69726502245874
52,489.69726502245874
53,489.8008586140507
54,489.69726502245874
55,489.69726502245874
56,489.69726502245874
57,489.69726502245874
58,489.69726502245874
59,489.69726502245874
60,548.1904589853441
61,489.69726502245874
62,497.35857090686557
63,510.3594400823563
64,489.69726502245874
65,536.1747947250581
66,489.69726502245874
67,508.96290764095755
68,489.69726502245874
69,489.69726502245874
70,489.69726502245874
71,489.69726502245874
72,489.69726502245874
73,489.69726502245874
74,489.69726502245874
75,489.69726502245874
76,489.69726502245874
77,489.69726502245874
78,489.69726502245874
79,489.69726502245874
80,489.69726502245874
81,489.69726502245874
82,489.69726502245874
83,501.42057854830455
84,489.69726502245874
85,489.69726502245874
86,489.69726502245874
87,489.69726502245874
88,509.8942027356793
89,471.2297824461374
90,476.31952473937525
91,578.8317820587305
92,928.7767302056252
93,895.2571342885642
94,850.1635292286825
95,845.0057720023694
96,831.023550961191
97,796.1154269029046
98,791.05134288847
99,663.7471482147664
100,591.005132190082
101,514.0490607579216
102,496.1554650386324
103,491.4413859494856
104,490.01498199105697
105,489.7360078008772
106,489.72248672375724
107,472.46018119192996
108,536.636770725689
109,629.1079562133398
110,488.0175188694173
111,484.00845086045854
112,430.69361741985966
113,367.20864074578475
114,348.8780611750959
115,338.45338409033565
116,336.3217108247189
117,358.15836199142234
118,335.88366719983486
119,371.2285310403407
120,335.84520161681394
121,335.84429897830125
122,335.8438688911672
123,335.84365842456646
124,335.84359724579355
125,335.8435871653535
126,335.8435862514575
127,335.84358590602307
128,350.09031993813755
129,335.84358571678155
130,335.84358570719075
131,335.84358570572294
132,335.8435857048503
133,335.8435857046282
134,335.8435857045147
135,335.84358570446636
136,335.8435857044599
137,335.8435857044557
138,355.66178686376
139,335.8435857044508
140,355.3236038628576
141,335.84358570445016
142,335.8435857044501
143,335.8435857044501
144,335.8435857044501
145,335.8435857044501
146,335.8435857044501
147,364.65679887943304
148,390.10321706878665
149,335.8435857044501
150,335.8435857044501
151,384.6079002880695
152,335.8435857044501
153,335.8435857044501
154,335.8435857044501
155,392.73114454218467
156,335.8435857044501
157,335.8435857044501
158,335.8435857044501
159,335.8435857044501
160,335.8435857044501
161,335.8435857044501
162,335.8435857044501
163,344.61897832866714
164,335.8435857044501
165,335.8435857044501
166,335.8435857044501
167,335.8435857044501
168,349.6660862756563
169,335.8435857044501
170,335.8435857044501
171,335.8435857044501
172,335.8435857044501
173,335.8435857044501
174,377.78653305436467
175,335.8435857044501
176,335.8435857044501
177,353.6160287807756
178,335.8435857044501
179,335.8435857044501
180,335.8435857044501
181,335.8435857044501
182,335.8435857044501
183,335.8435857044501
184,335.8435857044501
185,335.8435857044501
186,335.8435857044501
187,335.8435857044501
188,335.8435857044501
189,365.9225765064584
190,335.8435857044501
191,335.8435857044501
192,335.8435857044501
193,359.5882136713617
194,395.27606559312414
195,335.8435857044501
196,335.8435857044501
197,335.8435857044501
198,335.8435857044501
199,335.8435857044501
200,335.8435857044501
201,335.8435857044501
202,335.8435857044501
203,335.8435857044501
204,335.8435857044501
205,335.8435857044501
206,335.8435857044501
207,335.8435857044501
208,335.8435857044501
209,335.8435857044501
210,335.8435857044501
211,335.8435857044501
212,335.8435857044501
213,335.8435857044501
214,335.8435857044501
215,335.8435857044501
216,335.8435857044501
217,335.8435857044501
218,403.94407967743575
219,335.8435857044501
220,376.982234317171
221,361.86481411557844
222,335.8435857044501
223,335.8435857044501
224,335.8435857044501
225,376.9453749735199
226,335.8435857044501
227,335.8435857044501
228,335.8435857044501
229,335.8435857044501
230,335.8435857044501
231,335.8435857044501
232,389.07153102341215
233,335.8435857044501
234,363.59963591220065
235,335.8435857044501
236,335.8435857044501
237,335.8435857044501
238,335.8435857044501
239,335.8435857044501
240,335.8435857044501
241,335.8435857044501
242,385.05066070892406
243,335.8435857044501
244,346.33274724458545
245,342.52201807738476
246,335.8435857044501
247,335.8435857044501
248,335.8435857044501
249,335.8435857044501
250,335.8435857044501
251,371.1780478676085
252,335.8435857044501
253,335.8435857044501
254,335.8435857044501
255,335.8435857044501
256,372.0878186463003
257,358.5660195885741
258,326.05662430331074
259,368.57791624716646
260,408.65841897213585
261,335.8435857044501
262,335.8435857044501
263,335.8435857044501
264,365.7908216564166
265,335.8435857044501
266,392.17262254818087
267,335.8435857044501
268,346.92567690907157
269,322.3865474023385
270,343.7955242071108
271,483.4955447481376
272,165.24457153902964
273,126.53702662466557
274,120.1354928922032
275,118.69361848650644
276,118.68536300224665
277,118.68452140801779
278,118.68415933079442
279,118.68400515320677
280,155.06232914247923
281,118.68394324301671
282,146.9433786238519
283,118.68394030487264
284,180.21059000610012
285,118.68393962326483
286,118.68393960768228
287,151.95145033555914
288,118.68393960168962
289,118.68393960145859
290,118.68393960125911
291,185.09172099887215
292,159.46640084686106
293,118.68393960112492
294,118.68393960112272
295,118.68393960112223
296,118.68393960112205
297,118.68393960112209
298,118.68393960112208
299,118.68393960112203
300,118.683939601122
301,121.07710462867112
302,218.35639867995852
303,191.08225627627516
304,118.68393960112189
305,118.68393960112189
306,118.68393960112189
307,118.68393960112189
308,118.68393960112189
309,118.68393960112189
310,118.68393960112189
311,118.68393960112189
312,118.68393960112189
313,118.68393960112189
314,118.68393960112189
315,149.52219469450898
316,118.68393960112189
317,118.68393960112189
318,118.68393960112189
319,118.68393960112189
320,118.68393960112189
321,118.68393960112189
322,166.82063635152244
323,118.68393960112189
324,118.68393960112189
325,214.80236578765908
326,118.68393960112189
327,174.86774454975674
328,118.68393960112189
329,118.68393960112189
330,160.53090959444916
331,118.68393960112189
332,118.68393960112189
333,118.68393960112189
334,155.381702732539
335,118.68393960112189
336,118.68393960112189
337,118.68393960112189
338,148.39426313571872
339,148.77295318026185
340,118.68393960112189
341,118.68393960112189
342,118.68393960112189
343,144.00615078792072
344,157.56837901309666
345,118.68393960112189
346,118.68393960112189
347,118.68393960112189
348,118.68393960112189
349,118.68393960112189
350,177.30720253327527
351,168.84348009750138
352,118.68393960112189
353,118.68393960112189
354,179.1798081464545
355,169.65068094710898
356,118.68393960112189
357,118.68393960112189
358,118.68393960112189
359,118.68393960112189
360,118.68393960112189
361,118.68393960112189
362,118.68393960112189
363,118.68393960112189
364,200.6386517272283
365,165.07923512586552
366,118.68393960112189
367,118.68393960112189
368,118.68393960112189
369,118.68393960112189
370,118.68393960112189
371,160.70226192984802
372,118.68393960112189
373,118.68393960112189
374,118.68393960112189
375,118.68393960112189
376,118.68393960112189
377,118.68393960112189
378,118.68393960112189
379,118.68393960112189
380,118.68393960112189
381,161.09802612542833
382,118.68393960112189
383,118.68393960112189
384,118.68393960112189
385,118.68393960112189
386,188.2430764874266
387,118.68393960112189
388,118.68393960112189
389,118.68393960112189
390,118.68393960112189
391,173.32970204954543
392,118.68393960112189
393,118.68393960112189
394,118.68393960112189
395,118.68393960112189
396,118.68393960112189
397,118.68393960112189
398,118.68393960112189
399,118.68393960112189
400,118.68393960112189
401,118.68393960112189
402,118.68393960112189
403,118.68393960112189
404,118.68393960112189
405,118.68393960112189
406,118.68393960112189
407,118.68393960112189
408,118.68393960112189
409,118.68393960112189
410,118.68393960112189
411,118.68393960112189
412,118.68393960112189
413,118.68393960112189
414,118.68393960112189
415,160.7620003961751
416,136.7615060436917
417,118.68393960112189
418,118.68393960112189
419,118.68393960112189
420,150.67632485536893
421,118.68393960112189
422,118.68393960112189
423,148.37279060959636
424,118.68393960112189
425,161.1399402176587
426,118.68393960112189
427,172.07523540536812
428,118.68393960112189
429,140.46435946359452
430,118.68393960112189
431,166.3597204636289
432,118.68393960112189
433,118.68393960112189
434,118.68393960112189
435,118.68393960112189
436,118.68393960112189
437,118.68393960112189
438,119.8212961962676
439,118.68393960112189
440,132.35992332315848
441,118.68393960112189
442,118.68393960112189
443,118.68393960112189
444,118.68393960112189
445,175.58241727006083
446,118.68393960112189
447,158.60924167593913
448,118.68393960112189
449,118.68393960112189
450,182.20244421563325
451,118.68393960112189
452,118.68393960112189
453,118.68393960112189
454,118.68393960112189
455,154.91038675807926
456,118.68393960112189
457,118.68393960112189
458,118.68393960112189
459,118.68393960112189
460,118.68393960112189
461,118.68393960112189
462,148.38116937450565
463,118.68393960112189
464,118.68393960112189
465,118.68393960112189
466,118.68393960112189
467,118.68393960112189
468,163.96073339104603
469,118.68393960112189
470,221.754719132336
471,118.68393960112189
472,118.68393960112189
473,118.68393960112189
474,118.68393960112189
475,118.68393960112189
476,118.68393960112189
477,118.68393960112189
478,118.68393960112189
479,118.68393960112189
480,118.68393960112189
481,118.68393960112189
482,118.68393960112189
483,149.9389093557861
484,118.68393960112189
485,118.68393960112189
486,161.38748745585173
487,118.68393960112189
488,118.68393960112189
489,118.68393960112189
490,118.68393960112189
491,172.5405552209705
492,118.68393960112189
493,118.68393960112189
494,118.68393960112189
495,118.68393960112189
496,118.68393960112189
497,118.68393960112189
498,118.68393960112189
499,118.68393960112189
500,118.68393960112189
501,118.68393960112189
502,118.68393960112189
503,118.68393960112189
504,118.68393960112189
505,118.68393960112189
506,118.68393960112189
507,149.19604124032392
508,163.20942682198447
509,118.68393960112189
510,118.68393960112189
511,118.68393960112189
512,118.68393960112189
513,118.68393960112189
514,118.68393960112189
515,118.68393960112189
516,118.68393960112189
517,147.41236070230346
518,118.68393960112189
519,146.48745643565965
520,170.82546570460323
521,118.68393960112189
522,118.68393960112189
523,118.68393960112189
524,118.68393960112189
