Iteration,Value
1,172154043399.5936
2,38244452304.2603
3,23504264661.325733
4,13858385936.272442
5,10257161236.601526
6,9603595969.98815
7,9214275206.067291
8,12478889558.68872
9,8494457157.4862
10,8383117046.997914
11,9504560225.864435
12,7153757048.10703
13,5263709371.324214
14,10955929878.21881
15,9738373193.38419
16,5004334202.927132
17,7136940588.514717
18,5110788381.734276
19,5045718976.352316
20,4832152058.695999
21,5037265706.124361
22,4826819406.02226
23,7663638281.347201
24,5026894206.851934
25,4826103739.647948
26,36826472620.177536
27,3871363205.513648
28,4393694419.69745
29,2545740878.1717024
30,1905274283.6438308
31,15166195574.95683
32,1691704015.8639019
33,1130789064.252107
34,348819900.0505465
35,2814461244.0152025
36,2621080977.43554
37,311973643.09650165
38,1358583876.470552
39,3746056486.4140244
40,382562284.4593248
41,264963999.11669445
42,263628321.2691173
43,9479887960.244396
44,260766207.29234442
45,249625104.51397228
46,186640524.9228863
47,2016945574.3375058
48,6987589929.581856
49,14328227169.22327
50,4020750096.211179
51,133348109.31348643
52,3306018477.4711027
53,411661110.91815555
54,182519627.39641926
55,129180786.85732536
56,129176813.63200597
57,2442547776.9546356
58,185131108.10709852
59,144684716.38127983
60,129174550.58163576
61,129174545.53985608
62,129174544.01946667
63,129174543.874247
64,129174543.74389431
65,129174543.72628805
66,373667207.1543119
67,129174543.69478457
68,129174543.6908504
69,129271990.04577687
70,129174543.69028528
71,3206912322.1904454
72,129174543.69016857
73,2011858494.073897
74,191515155.42691252
75,936672556.2324528
76,897833450.2467406
77,571274861.9145678
78,221210615.19095793
79,185207508.2686163
80,14596952727.652634
81,129174543.69015145
82,8023025231.372877
83,129174543.69015145
84,238698967.46521482
85,11853063558.193773
86,129174543.69015145
87,7608694126.1556835
88,129174543.69015145
89,134929963.7424421
90,129497770.37138155
91,1780037550.893742
92,4780736614.0126705
93,4750240128.5911
94,5076310383.289018
95,129174543.69015145
96,4114313316.240916
97,129762334.68986209
98,129174543.69015145
99,2428830567.3280306
100,6434721493.953202
